t,omega_true,omega_ref,tau_cmd,d_hat,d_true
0.0229,18.2782689,30,0.237369925,0.005419298,0
0.023,18.3253768,30,0.237369925,0.005419298,0
0.0231,18.3706245,30,0.228073165,0.00527913095,0
0.0232,18.4158713,30,0.228073165,0.00527913095,0
0.0233,18.4611171,30,0.228073165,0.00527913095,0
0.0234,18.5063621,30,0.228073165,0.00527913095,0
0.0235,18.5516061,30,0.228073165,0.00527913095,0
0.0236,18.5968493,30,0.228073165,0.00527913095,0
0.0237,18.6420915,30,0.228073165,0.00527913095,0
0.0238,18.6873329,30,0.228073165,0.00527913095,0
0.0239,18.7325733,30,0.228073165,0.00527913095,0
0.024,18.7778128,30,0.228073165,0.00527913095,0
0.0241,18.8212698,30,0.219164612,0.00512915729,0
0.0242,18.8647258,30,0.219164612,0.00512915729,0
0.0243,18.908181,30,0.219164612,0.00512915729,0
0.0244,18.9516354,30,0.219164612,0.00512915729,0
0.0245,18.9950888,30,0.219164612,0.00512915729,0
0.0246,19.0385414,30,0.219164612,0.00512915729,0
0.0247,19.0819931,30,0.219164612,0.00512915729,0
0.0248,19.125444,30,0.219164612,0.00512915729,0
0.0249,19.1688939,30,0.219164612,0.00512915729,0
0.025,19.212343,30,0.219164612,0.00512915729,0
0.0251,19.2540832,30,0.210623982,0.00497300406,0
0.0252,19.2958225,30,0.210623982,0.00497300406,0
0.0253,19.3375609,30,0.210623982,0.00497300406,0
0.0254,19.3792986,30,0.210623982,0.00497300406,0
0.0255,19.4210354,30,0.210623982,0.00497300406,0
0.0256,19.4627713,30,0.210623982,0.00497300406,0
0.0257,19.5045064,30,0.210623982,0.00497300406,0
0.0258,19.5462407,30,0.210623982,0.00497300406,0
0.0259,19.5879742,30,0.210623982,0.00497300406,0
0.026,19.6297068,30,0.210623982,0.00497300406,0
0.0261,19.6698004,30,0.20243286,0.00481346882,0
0.0262,19.7098932,30,0.20243286,0.00481346882,0
0.0263,19.7499851,30,0.20243286,0.00481346882,0
0.0264,19.7900763,30,0.20243286,0.00481346882,0
0.0265,19.8301667,30,0.20243286,0.00481346882,0
0.0266,19.8702562,30,0.20243286,0.00481346882,0
0.0267,19.910345,30,0.20243286,0.00481346882,0
0.0268,19.950433,30,0.20243286,0.00481346882,0
0.0269,19.9905201,30,0.20243286,0.00481346882,0
0.027,20.0306065,30,0.20243286,0.00481346882,0
0.0271,20.0691204,30,0.194574401,0.00465269787,0
0.0272,20.1076335,30,0.194574401,0.00465269787,0
0.0273,20.1461458,30,0.194574401,0.00465269787,0
0.0274,20.1846574,30,0.194574401,0.00465269787,0
0.0275,20.2231682,30,0.194574401,0.00465269787,0
0.0276,20.2616782,30,0.194574401,0.00465269787,0
0.0277,20.3001875,30,0.194574401,0.00465269787,0
0.0278,20.338696,30,0.194574401,0.00465269787,0
0.0279,20.3772037,30,0.194574401,0.00465269787,0
0.028,20.4157107,30,0.194574401,0.00465269787,0
0.0281,20.4527086,30,0.187033089,0.00449232655,0
0.0282,20.4897058,30,0.187033089,0.00449232655,0
0.0283,20.5267022,30,0.187033089,0.00449232655,0
0.0284,20.563698,30,0.187033089,0.00449232655,0
0.0285,20.6006929,30,0.187033089,0.00449232655,0
0.0286,20.6376872,30,0.187033089,0.00449232655,0
0.0287,20.6746807,30,0.187033089,0.00449232655,0
0.0288,20.7116734,30,0.187033089,0.00449232655,0
0.0289,20.7486654,30,0.187033089,0.00449232655,0
0.029,20.7856567,30,0.187033089,0.00449232655,0
0.0291,20.8211995,30,0.179794539,0.00433358974,0
0.0292,20.8567417,30,0.179794539,0.00433358974,0
0.0293,20.8922831,30,0.179794539,0.00433358974,0
0.0294,20.9278238,30,0.179794539,0.00433358974,0
0.0295,20.9633638,30,0.179794539,0.00433358974,0
0.0296,20.9989031,30,0.179794539,0.00433358974,0
0.0297,21.0344416,30,0.179794539,0.00433358974,0
0.0298,21.0699795,30,0.179794539,0.00433358974,0
0.0299,21.1055167,30,0.179794539,0.00433358974,0
0.03,21.1410531,30,0.179794539,0.00433358974,0
0.0301,21.175199,30,0.172845348,0.00417740889,0
0.0302,21.2093442,30,0.172845348,0.00417740889,0
0.0303,21.2434888,30,0.172845348,0.00417740889,0
0.0304,21.2776326,30,0.172845348,0.00417740889,0
0.0305,21.3117758,30,0.172845348,0.00417740889,0
0.0306,21.3459183,30,0.172845348,0.00417740889,0
0.0307,21.3800601,30,0.172845348,0.00417740889,0
0.0308,21.4142012,30,0.172845348,0.00417740889,0
0.0309,21.4483417,30,0.172845348,0.00417740889,0
0.031,21.4824815,30,0.172845348,0.00417740889,0
0.0311,21.5152861,30,0.166172962,0.00402446044,0
0.0312,21.54809,30,0.166172962,0.00402446044,0
0.0313,21.5808933,30,0.166172962,0.00402446044,0
0.0314,21.613696,30,0.166172962,0.00402446044,0
0.0315,21.646498,30,0.166172962,0.00402446044,0
0.0316,21.6792993,30,0.166172962,0.00402446044,0
0.0317,21.7121,30,0.166172962,0.00402446044,0
0.0318,21.7449,30,0.166172962,0.00402446044,0
0.0319,21.7776994,30,0.166172962,0.00402446044,0
0.032,21.8104981,30,0.166172962,0.00402446044,0
0.0321,21.8420147,30,0.159765578,0.00387522972,0
0.0322,21.8735306,30,0.159765578,0.00387522972,0
0.0323,21.905046,30,0.159765578,0.00387522972,0
0.0324,21.9365607,30,0.159765578,0.00387522972,0
0.0325,21.9680747,30,0.159765578,0.00387522972,0
0.0326,21.9995882,30,0.159765578,0.00387522972,0
0.0327,22.031101,30,0.159765578,0.00387522972,0
0.0328,22.0626132,30,0.159765578,0.00387522972,0
0.0329,22.0941247,30,0.159765578,0.00387522972,0
0.033,22.1256356,30,0.159765578,0.00387522972,0
0.0331,22.1559152,30,0.153612058,0.00373005332,0
0.0332,22.1861942,30,0.153612058,0.00373005332,0
0.0333,22.2164726,30,0.153612058,0.00373005332,0
0.0334,22.2467504,30,0.153612058,0.00373005332,0
0.0335,22.2770275,30,0.153612058,0.00373005332,0
0.0336,22.3073041,30,0.153612058,0.00373005332,0
0.0337,22.3375801,30,0.153612058,0.00373005332,0
0.0338,22.3678554,30,0.153612058,0.00373005332,0
0.0339,22.3981302,30,0.153612058,0.00373005332,0
0.034,22.4284043,30,0.153612058,0.00373005332,0
0.0341,22.4574958,30,0.14770186,0.00358915243,0
0.0342,22.4865868,30,0.14770186,0.00358915243,0
0.0343,22.5156771,30,0.14770186,0.00358915243,0
0.0344,22.5447669,30,0.14770186,0.00358915243,0
0.0345,22.5738561,30,0.14770186,0.00358915243,0
0.0346,22.6029447,30,0.14770186,0.00358915243,0
0.0347,22.6320327,30,0.14770186,0.00358915243,0
0.0348,22.6611201,30,0.14770186,0.00358915243,0
0.0349,22.690207,30,0.14770186,0.00358915243,0
0.035,22.7192933,30,0.14770186,0.00358915243,0
0.0351,22.7472436,30,0.142024982,0.003452659,0
0.0352,22.7751934,30,0.142024982,0.003452659,0
0.0353,22.8031426,30,0.142024982,0.003452659,0
0.0354,22.8310912,30,0.142024982,0.003452659,0
0.0355,22.8590393,30,0.142024982,0.003452659,0
0.0356,22.8869869,30,0.142024982,0.003452659,0
