t,omega_true,omega_ref,tau_cmd,d_hat,d_true
0.0201,39.0857033,50,0.628228448,-0.390127818,0
0.0202,39.210566,50,0.628228448,-0.390127818,0
0.0203,39.3354262,50,0.628228448,-0.390127818,0
0.0204,39.460284,50,0.628228448,-0.390127818,0
0.0205,39.5851392,50,0.628228448,-0.390127818,0
0.0206,39.709992,50,0.628228448,-0.390127818,0
0.0207,39.8348422,50,0.628228448,-0.390127818,0
0.0208,39.9596899,50,0.628228448,-0.390127818,0
0.0209,40.0845352,50,0.628228448,-0.390127818,0
0.021,40.2093779,50,0.628228448,-0.390127818,0
0.0211,40.3257606,50,0.585940259,-0.372102919,0
0.0212,40.442141,50,0.585940259,-0.372102919,0
0.0213,40.5585191,50,0.585940259,-0.372102919,0
0.0214,40.6748948,50,0.585940259,-0.372102919,0
0.0215,40.7912682,50,0.585940259,-0.372102919,0
0.0216,40.9076392,50,0.585940259,-0.372102919,0
0.0217,41.024008,50,0.585940259,-0.372102919,0
0.0218,41.1403744,50,0.585940259,-0.372102919,0
0.0219,41.2567385,50,0.585940259,-0.372102919,0
0.022,41.3731002,50,0.585940259,-0.372102919,0
0.0221,41.4811998,50,0.544640915,-0.353589824,0
0.0222,41.5892973,50,0.544640915,-0.353589824,0
0.0223,41.6973926,50,0.544640915,-0.353589824,0
0.0224,41.8054858,50,0.544640915,-0.353589824,0
0.0225,41.9135768,50,0.544640915,-0.353589824,0
0.0226,42.0216656,50,0.544640915,-0.353589824,0
0.0227,42.1297523,50,0.544640915,-0.353589824,0
0.0228,42.2378368,50,0.544640915,-0.353589824,0
0.0229,42.3459191,50,0.544640915,-0.353589824,0
0.023,42.4539993,50,0.544640915,-0.353589824,0
0.0231,42.5540512,50,0.504509838,-0.334784264,0
0.0232,42.6541011,50,0.504509838,-0.334784264,0
0.0233,42.754149,50,0.504509838,-0.334784264,0
0.0234,42.8541949,50,0.504509838,-0.334784264,0
0.0235,42.9542387,50,0.504509838,-0.334784264,0
0.0236,43.0542806,50,0.504509838,-0.334784264,0
0.0237,43.1543205,50,0.504509838,-0.334784264,0
0.0238,43.2543584,50,0.504509838,-0.334784264,0
0.0239,43.3543943,50,0.504509838,-0.334784264,0
0.024,43.4544282,50,0.504509838,-0.334784264,0
0.0241,43.5466973,50,0.465695701,-0.315859878,0
0.0242,43.6389646,50,0.465695701,-0.315859878,0
0.0243,43.73123,50,0.465695701,-0.315859878,0
0.0244,43.8234936,50,0.465695701,-0.315859878,0
0.0245,43.9157553,50,0.465695701,-0.315859878,0
0.0246,44.0080152,50,0.465695701,-0.315859878,0
0.0247,44.1002733,50,0.465695701,-0.315859878,0
0.0248,44.1925295,50,0.465695701,-0.315859878,0
0.0249,44.2847839,50,0.465695701,-0.315859878,0
0.025,44.3770364,50,0.465695701,-0.315859878,0
0.0251,44.4618118,50,0.42831915,-0.29696968,0
0.0252,44.5465856,50,0.42831915,-0.29696968,0
0.0253,44.6313576,50,0.42831915,-0.29696968,0
0.0254,44.716128,50,0.42831915,-0.29696968,0
0.0255,44.8008967,50,0.42831915,-0.29696968,0
0.0256,44.8856636,50,0.42831915,-0.29696968,0
0.0257,44.9704289,50,0.42831915,-0.29696968,0
0.0258,45.0551925,50,0.42831915,-0.29696968,0
0.0259,45.1399543,50,0.42831915,-0.29696968,0
0.026,45.2247145,50,0.42831915,-0.29696968,0
0.0261,45.3023043,50,0.392475389,-0.278247493,0
0.0262,45.3798926,50,0.392475389,-0.278247493,0
0.0263,45.4574793,50,0.392475389,-0.278247493,0
0.0264,45.5350644,50,0.392475389,-0.278247493,0
0.0265,45.612648,50,0.392475389,-0.278247493,0
0.0266,45.6902301,50,0.392475389,-0.278247493,0
0.0267,45.7678106,50,0.392475389,-0.278247493,0
0.0268,45.8453895,50,0.392475389,-0.278247493,0
0.0269,45.9229669,50,0.392475389,-0.278247493,0
0.027,46.0005428,50,0.392475389,-0.278247493,0
0.0271,46.0712694,50,0.358236637,-0.259809347,0
0.0272,46.1419946,50,0.358236637,-0.259809347,0
0.0273,46.2127184,50,0.358236637,-0.259809347,0
0.0274,46.2834407,50,0.358236637,-0.259809347,0
0.0275,46.3541617,50,0.358236637,-0.259809347,0
0.0276,46.4248812,50,0.358236637,-0.259809347,0
